"顧客名","支払時期","契約締結状況","請求書送付状況","着金状況","納品予定日","着金見込み日","契約金額","着金金額",""
"zacros","納品後支払い","締結済み","未送付","未確認","","","","¥0",""
"北野病院","分割支払い","締結済み","前金分送付済み","前金分確認済み","","","","¥0",""
"BSNアイネット","前払い","締結済み","送付済み","確認済み","","2026/02/28","641,500","¥705,650",""
"八尾トーヨー","前払い","締結済み","送付済み","確認済み","","","","¥0",""
"伸晃","前払い","締結済み","送付済み","確認済み","","2026/02/28","¥681,000","¥749,100",""
"カーテンじゅうたん王国","前払い","締結済み","送付済み","確認済み","","2026/01/25","¥2,097,160","¥2,306,876",""
"全農物流","分割支払い","締結済み","送付済み","未確認","","","","¥0",""
"大冷工業        ","納品後支払い","締結済み","未送付","未確認","","","","¥0",""
"近鉄ＨＲ","前払い","締結済み","送付済み","未確認","","2026/03/31","¥1,450,000","¥1,595,000",""
"江田商会","前払い","締結済み","送付済み","未確認","","2026/04/30","¥995,640","¥1,095,204",""
"ウィザス","納品後支払い","締結済み","送付済み","未確認","2026/03/31","2026/04/30","¥150,000","¥165,000",""
"プラセム","納品後支払い","締結済み","未送付","未確認","","","¥438,240","¥482,064",""
"財務省","納品後支払い","締結済み","送付済み","確認済み","","2026/04/30","","",""
"丸金","前払い","締結済み","送付済み","未確認","","2026/05/31","¥700,000","¥770,000",""
"日本データー","分割支払い","締結済み","前金分送付済み","未確認","","2026/05/31","¥557,920","¥613,712",""
"ベストプロパティ","納品後支払い","締結済み","未送付","未確認","","","¥926,680","¥1,019,348",""
"CKCネットワーク（サイネージ）","前払い","締結済み","送付済み","未確認","","","¥300,000","¥330,000",""
"山晃","分割支払い","締結済み","未送付","未確認","","","","¥0",""
